ring,estimator,basin,size_class,q,n,cons_med,S_med,a_m_med,R_delta,iso_p95,medE
scaled,feret,CMR,1-2 ha,Q2,72,0.441,1.385,160.0,0.1073,0.2061,1.333
scaled,feret,CMR,1-2 ha,Q3,72,0.631,1.46,161.0,0.1418,0.2061,1.309
scaled,feret,CMR,1-2 ha,Q4,73,0.801,1.25,150.0,0.1671,0.204,1.29
scaled,feret,CMR,>=2 ha,Q1,64,0.168,3.353,270.5,0.1566,0.2145,1.32
scaled,feret,CMR,>=2 ha,Q2,63,0.31,3.146,268.4,0.0958,0.2178,1.448
scaled,feret,CMR,>=2 ha,Q3,63,0.433,3.111,252.2,0.069,0.2178,1.532
scaled,feret,CMR,>=2 ha,Q4,63,0.639,2.775,210.1,0.2956,0.2178,1.203
scaled,feret,CRR,all,Q1,357,0.301,1.459,159.6,0.1048,0.0946,1.274
scaled,feret,CRR,all,Q2,357,0.6,1.0,135.5,0.1227,0.0946,1.272
scaled,feret,CRR,all,Q3,356,0.845,0.562,99.7,0.1393,0.0899,1.236
scaled,feret,CRR,all,Q4,357,0.969,0.244,62.1,0.1404,0.0946,1.218
scaled,feret,CRR,<1 ha,Q1,223,0.412,0.459,89.4,0.0548,0.1165,1.369
scaled,feret,CRR,<1 ha,Q2,222,0.757,0.407,87.5,0.1106,0.1155,1.293
scaled,feret,CRR,<1 ha,Q3,222,0.92,0.324,72.0,0.1411,0.1155,1.25
scaled,feret,CRR,<1 ha,Q4,223,0.983,0.194,54.5,0.1679,0.1165,1.225
scaled,feret,CRR,1-2 ha,Q1,66,0.256,1.459,153.7,0.0519,0.2092,1.157
scaled,feret,CRR,1-2 ha,Q2,66,0.531,1.589,159.5,0.2772,0.2092,1.227
scaled,feret,CRR,1-2 ha,Q3,66,0.737,1.387,152.2,0.2037,0.2092,1.203
scaled,feret,CRR,1-2 ha,Q4,66,0.894,1.317,147.7,0.0958,0.2092,1.167
scaled,feret,CRR,>=2 ha,Q1,69,0.204,3.695,260.0,0.1441,0.2135,1.28
scaled,feret,CRR,>=2 ha,Q2,68,0.371,3.472,247.0,0.1799,0.2094,1.252
scaled,feret,CRR,>=2 ha,Q3,68,0.559,3.202,221.4,0.1571,0.2094,1.154
scaled,feret,CRR,>=2 ha,Q4,68,0.755,2.842,210.4,0.3229,0.2094,1.18
