cubeta_id,cuenca,S_ha,P_m,a_m,b_m,feret_max_m,Dm_m,IC,E,theta_mom_geo,theta_feret_geo,theta_mbr_geo,theta_mom_grid,theta_feret_grid,theta_mbr_grid
CMR_0343,CMR,0.5542951330777871,308.69554274574824,127.15460063242242,57.82319260055544,127.89399273038225,84.0089568372848,1.1696472230593458,2.1990242135333253,59.073893073363415,58.050699082972365,64.53419755144927,59.69656530047696,58.67337131008591,65.15686977856282
CMR_0344,CMR,0.13386916367939652,145.3330678335183,48.69057463892141,30.004189527235013,54.99054244518794,41.285289513001096,1.120519023277295,1.622792530180648,174.42541338559303,150.64053410334097,1.103698621265334,175.04345872834247,151.2585794460904,1.7217439640147654
CMR_0345,CMR,0.5693016532594528,291.9961221726168,94.47807439343042,72.5073067878077,101.27815401167737,85.13855635451198,1.091694014963741,1.3030145316239652,100.18784095317822,62.21223172142249,97.43237860507557,100.8169936441735,62.84138441241777,98.06153129607084
CMR_0346,CMR,0.5444019419449166,282.96303404584467,101.18786024587759,67.51639722229042,102.13904960998562,83.25587551127452,1.0818447419864754,1.4987153404043099,109.13336287754323,119.80118265989792,111.66101504917621,109.74971642105427,120.41753620340896,112.27736859268725
CMR_0347,CMR,5.861297742728409,946.0339625164838,329.83420449657126,247.6644566140571,334.16161492858885,273.18191868256497,1.102312936327734,1.3317785240801094,155.66317828706985,154.5179738951664,163.74885563417902,156.28549659379968,155.14029220189622,164.37117394090885
CMR_0348,CMR,1.4299171002415374,436.39878277811937,139.24219089074236,130.01938336937593,142.45031053396787,134.9306117128563,1.0294924562593717,1.0709340967659036,150.29573906848543,168.9114354839636,1.0943067831979574,150.92242192812066,169.53811834359882,1.7209896428331797
CMR_0349,CMR,0.3192576273353117,218.42158207147983,64.49704812097872,63.929484642301915,76.85248727353304,63.75668091123004,1.0904857018209373,1.0088779611137557,43.65189777881194,52.25965793413125,12.417522501527877,44.26528519439693,52.873045349716236,13.030909917112865
CMR_0350,CMR,0.12362518786415744,140.11773355317592,46.447689580253694,35.36019957142942,55.97504925065079,39.67423318905594,1.124176984268601,1.3135584680857635,8.31729610909737,9.280584097561169,46.10465582873835,8.93292277235154,9.89621076081534,46.72028249199252
CMR_0351,CMR,0.11877398491606454,140.81659691293598,49.445924556289356,30.71623460924049,53.40521032515064,38.888010296351126,1.1526255674837436,1.6097651676815339,111.87873138463944,132.60121757595488,109.54115451144152,112.49229666490857,133.214782856224,110.15471979171065
CMR_0352,CMR,0.569189158699359,322.6824709651761,120.01606838292015,59.737210002688734,127.9121619286447,85.13014420818058,1.2065411325423236,2.009067185720898,95.97277949522234,111.34472821540407,91.10763671075368,96.584895411488,111.95684413166974,91.71975262701935
CMR_0353,CMR,0.5516933543113757,306.3861086693693,96.87843350377463,79.12724221741178,118.0472064870392,83.81156216637599,1.1636309461126761,1.2243372925545577,137.75924599637253,139.34698003932218,98.21546005785488,138.38847927230353,139.97621331525318,98.84469333378587
CMR_0354,CMR,2.6253731420762842,630.6865636373057,204.63225783039445,172.4045441730519,220.15249968826785,182.8313130778514,1.0980272739361328,1.1869307668885678,6.739622445036237,162.71051787901212,11.396787752807105,7.367138477467874,163.33803391144374,12.024303785238743
CMR_0355,CMR,2.020089189268554,554.2263890057249,159.8911590688237,153.92142813684595,203.2755083984218,160.3763523612106,1.1000109193600436,1.0387842745759237,53.712819383741014,44.10982912781001,175.895599957777,54.342207940244236,44.73921768431323,176.5249885142802
CMR_0356,CMR,0.21904976323603906,194.5617636371598,73.64044427641961,43.88529351969915,81.51948552490794,52.81125077263363,1.1726844551682925,1.678021003627651,129.7407376520577,135.85678054372534,109.53165997124948,130.36327543539971,136.47931832706735,110.1541977545915
CMR_0357,CMR,0.3092747814253971,216.3938201231215,66.42119447159585,61.871798365377735,83.35109844919191,62.75196267051251,1.097659568290024,1.073529398310877,170.03025507286932,162.14045549223744,27.65698205869041,170.65746037320426,162.76766079257237,28.28418735902534
CMR_0358,CMR,0.7644032743070028,400.2947707324427,156.60822742582647,76.71312586452005,156.92924470190164,98.65437025153605,1.2915574098434481,2.041478895051232,108.67985890968166,110.79351399009632,106.593236294503,109.29675378556678,111.41040886598144,107.21013117038812
CMR_0359,CMR,1.7398392850084228,489.1818190265699,160.4545807006417,141.93069255246223,173.49725314143254,148.83656066828726,1.0461905894517538,1.1305136177034607,169.320069569446,157.48332362058156,19.52780080162064,169.94625803210008,158.10951208323564,20.153989264274735
CMR_0360,CMR,1.169551457898633,517.7935388626228,230.27571368939087,70.26295641267133,230.37736550855573,122.02947044870766,1.3506475265033746,3.27734165264732,134.94397871232914,137.79694314522547,136.09481888927067,135.56815849900204,138.42112293189837,136.71899867594357
CMR_0361,CMR,1.4799277267553002,454.7004061650305,150.58737196452176,122.55611121184167,155.65389270030948,137.2698985595481,1.0543872768386107,1.2287218521826895,8.685632741851997,27.290185600739484,7.437537102831582,9.307251719779254,27.911804578666743,8.05915608075884
CMR_0362,CMR,0.7085751680292687,343.1681119738225,126.28970861577614,72.95483714255823,130.97450162234773,94.98346826433679,1.1500296278958633,1.7310669663890592,4.125184083347192,170.02960828342887,5.398168667709426,4.744019017620479,170.64844321770215,6.0170036019827124
CMR_0363,CMR,1.165905324202661,454.31283490476955,181.42965188908343,82.59449108855789,184.6056970375139,121.83910555286009,1.1869117564034661,2.1966313914877738,173.66385877614104,166.05833647139366,176.70180152847834,174.28220915533868,166.6766868505913,177.32015190767598
CMR_0364,CMR,0.25895795848143033,205.2439634074545,69.07841131805166,40.005979929681224,77.58215043548769,57.42085972557739,1.137760440097277,1.7267021440162507,87.01411021744782,61.787457079524266,91.09243917912778,87.64046989852203,62.41381676059848,91.71879886020199
CMR_0365,CMR,0.1438573789701711,149.59217994972357,48.084431766040055,39.183156776341484,54.76941551100649,42.7977690664799,1.1125970070967088,1.2271709510417266,163.859170034646,151.27147549676857,1.0902766835381787,164.48769375831694,151.8999992204395,1.7188004072091108
CMR_0366,CMR,0.15396199942791883,154.60448670644647,59.46182950304926,33.82893403259947,60.82290605531431,44.27533241638269,1.1115023621781541,1.75772105162251,51.5448843073392,40.36298332753507,54.232945034391875,52.16073860771479,40.97883762791066,54.84879933476746
CMR_0367,CMR,2.998399933049887,922.7036835445977,368.3658455968843,152.27612317638744,378.42803316378075,195.38887802764978,1.5031853780791071,2.419065037334787,157.3773206023239,157.917586532929,171.49429802558046,157.99508383921113,158.53534976981624,172.1120612624677
CMR_0368,CMR,1.7200369493327594,484.5056530599223,151.03641013594242,137.67255903354155,174.25839254491564,147.9871299233856,1.0421375112872977,1.0970698241989167,46.20869468480124,59.18339558407335,8.218848894283436,46.83342758184011,59.80812848111223,8.84358179132231
