window,n,area_km2,r_m,L_obs,env_lo,env_hi,env_mean,env_p025,env_p975,env_p005,env_p995
CMR,1779,967.0259125051613,9574.892978604734,7420.737465871251,7462.205929165725,7781.180653033364,7610.696916505404,7513.044860660831,7720.229231550988,7480.3076717645445,7756.566442980958
CMR,1779,967.0259125051613,10010.115386723131,7705.069178607907,7745.769274843971,8083.926011487436,7902.058790567082,7799.504206152247,8016.989068468205,7762.976060003608,8060.5034662472635
CMR,1779,967.0259125051613,10445.337794841527,7990.670617663485,8027.620305442177,8381.183018543521,8189.65988822852,8083.190448925279,8308.839277040292,8043.719989954279,8355.527447524788
CMR,1779,967.0259125051613,10880.560202959925,8274.22366963844,8305.60197820289,8673.717933765536,8473.385992910105,8362.326197580194,8597.278941276552,8320.573464551802,8646.300575366116
CRR,1431,925.9105137933359,404.738629303975,371.0655892748468,365.59119198589366,421.5793361871019,396.50190038599203,379.4897146774189,412.6011880009916,372.6071917792766,417.13508538521114
CRR,1431,925.9105137933359,809.47725860795,855.5375312336798,757.3076844731601,812.8931060897276,784.4327573027541,767.5088462647662,801.4734959648035,762.7954893940222,805.4190378244675
CRR,1431,925.9105137933359,1214.2158879119252,1291.1106836908941,1132.056066942067,1193.372332195166,1166.0466392408468,1148.470076697066,1184.2921503032385,1142.1837463933034,1188.5531331827026
CRR,1431,925.9105137933359,1618.9545172159,1700.5208484837324,1512.6171319997216,1579.13930171357,1541.5046621866297,1521.337673594385,1562.728166001369,1515.2761091198788,1566.876477982072
CRR,1431,925.9105137933359,2023.6931465198754,2100.2986587900573,1874.404186406562,1949.4339038173557,1911.5403241291122,1886.956028992426,1934.456021503336,1880.995349846402,1940.7838864093158
CRR,1431,925.9105137933359,2428.4317758238503,2486.752292412002,2232.4016597048076,2320.9679788560306,2277.462056781656,2250.496185611863,2304.4085743776577,2242.2329718849605,2311.839782599486
CRR,1431,925.9105137933359,2833.1704051278252,2861.1029729144248,2591.0746283043095,2684.819536377988,2638.771894355865,2607.8958616782534,2670.1100427226584,2600.15032926182,2678.537881193141
CRR,1431,925.9105137933359,3237.9090344318006,3231.1327001561303,2943.9211703438555,3045.3533659474674,2995.680289500642,2962.4999437042434,3030.578357460315,2952.117649249573,3039.3136054814095
CRR,1431,925.9105137933359,3642.6476637357755,3581.3638985910507,3289.0510690459623,3404.723967805194,3348.0740031535247,3310.2993033125745,3385.8536006432555,3297.751976705886,3395.83315583139
