cubeta_id,cuenca,dist_divide_m,slope_s50,slope_s100,slope_s200,slope_s500,slope_s1000,slope_s2000,tpi_R500,tpi_R1000,tpi_R2000,tpi_R5000,vd_ord4,vd_ord6
CMR_1704,CMR,7076.67251748434,0.0993965864181518,0.0970557108521461,0.0985024496912956,0.0535044856369495,0.0482327565550804,0.0369466729462146,-0.7309016585350037,-1.1723477840423584,-1.9162579774856567,-2.224193811416626,1.3340649604797363,5.573734283447266
CMR_1705,CMR,7865.351941461018,0.4521478414535522,0.342560201883316,0.199265107512474,0.0643511489033699,0.0323527939617633,0.0348074845969677,-0.6880385875701904,-1.4375793933868408,-2.50253963470459,-2.9983954429626465,2.321035385131836,6.692445278167725
CMR_1706,CMR,8211.393897979915,0.1407338976860046,0.0637540146708488,0.0200591478496789,0.010479730553925,0.0221188627183437,0.0347461700439453,-1.4545100927352903,-2.268407106399536,-3.3418097496032715,-3.865491390228272,3.570478916168213,7.714666843414307
CMR_1707,CMR,8482.281689278234,0.1578977853059768,0.1896258294582367,0.1811371892690658,0.0929528698325157,0.0380983464419841,0.0317585542798042,-0.3932119607925415,-0.9103634357452391,-1.7918955087661743,-2.269271850585937,2.2278361320495605,6.2266130447387695
CMR_1708,CMR,8730.653399834648,0.0705890357494354,0.0810549408197403,0.1164897605776786,0.1155687943100929,0.0550166331231594,0.0314122103154659,-0.8397772312164307,-0.9662715792655944,-1.6009904146194458,-1.988838791847229,2.272751808166504,6.043466091156006
CMR_1709,CMR,9376.837892545524,0.1987619251012802,0.1740067452192306,0.1457487493753433,0.0945885106921196,0.0586695559322834,0.0387020483613014,-0.2792884409427643,-0.0446945913136005,-0.5050923228263855,-0.8991342186927795,1.517591953277588,5.284877777099609
CMR_1710,CMR,9895.774918578763,0.2464901357889175,0.2586270570755005,0.2249004244804382,0.1192889288067817,0.0499751567840576,0.0330841988325119,-0.4369565546512604,-0.5926020741462708,-1.276108741760254,-1.7311705350875854,2.3669862747192383,6.388728618621826
CMR_1711,CMR,10931.180797757605,0.0135872643440961,0.012176489457488,0.0104622459039092,0.0675328895449638,0.0613487064838409,0.0357133969664573,-0.5956963896751404,-0.4343861043453216,-0.9239343404769896,-1.204445242881775,2.1049041748046875,6.390966415405273
CMR_1712,CMR,11334.77587287565,0.7021605372428894,0.5723681449890137,0.3313995599746704,0.084537461400032,0.0462513081729412,0.0318281054496765,-1.3383828401565552,-2.0007710456848145,-2.8519089221954346,-3.170215845108032,4.174012660980225,8.557950973510742
CMR_1713,CMR,11508.18565063206,0.2583818733692169,0.3070720136165619,0.2670462727546692,0.105329655110836,0.0437295585870742,0.0316620208323001,-1.8955587148666384,-2.31672739982605,-3.2322561740875244,-3.578752517700196,4.529965877532959,9.077840805053713
CMR_1721,CMR,15452.709481719035,0.6904891729354858,0.650479793548584,0.1000478714704513,0.0736281499266624,0.0623591020703315,0.0454932712018489,-0.079498067498207,-0.2859090864658355,-0.0048234849236905,0.5449565649032593,3.745056629180908,7.78311824798584
CMR_1724,CMR,16511.0911402566,0.2339393049478531,0.2852343022823334,0.2301206588745117,0.1134852766990661,0.0701732039451599,0.0478738360106945,-0.428375095129013,-0.5971106886863708,-0.3349363207817077,0.0305493529886007,1.5300931930541992,8.158026695251465
